panel	source_file	record_type	iteration	day1_rho	day7_rho	day14_rho	mean_rho	min_rho	transition_rho	same_transition_programs	statistic	real_value	null_mean	null_q95	empirical_one_sided_p	null_percentile	permutations	deleted_from	deleted_participant	all_days_positive
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	57.0	0.892857142857143	0.0	-0.142857142857143	0.25	-0.142857142857143	0.857142857142857	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	58.0	0.928571428571429	0.178571428571429	0.285714285714286	0.464285714285714	0.178571428571429	0.678571428571429	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	59.0	0.607142857142857	0.714285714285714	-0.321428571428571	0.333333333333333	-0.321428571428571	0.214285714285714	3.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	60.0	0.964285714285714	0.964285714285714	0.428571428571429	0.785714285714286	0.428571428571429	0.892857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	61.0	0.964285714285714	0.214285714285714	0.25	0.476190476190476	0.214285714285714	0.642857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	62.0	0.892857142857143	0.857142857142857	0.142857142857143	0.630952380952381	0.142857142857143	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	63.0	0.678571428571429	0.607142857142857	0.428571428571429	0.571428571428571	0.428571428571429	0.964285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	64.0	0.714285714285714	0.392857142857143	0.321428571428571	0.476190476190476	0.321428571428571	0.535714285714286	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	65.0	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429	0.892857142857143	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	66.0	0.571428571428571	0.428571428571429	0.678571428571429	0.55952380952381	0.428571428571429	0.714285714285714	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	67.0	0.928571428571429	0.571428571428571	0.607142857142857	0.702380952380953	0.571428571428571	0.857142857142857	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	68.0	0.535714285714286	0.321428571428571	0.928571428571429	0.595238095238095	0.321428571428571	0.75	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	69.0	0.928571428571429	-0.178571428571429	0.535714285714286	0.428571428571429	-0.178571428571429	0.928571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	70.0	0.214285714285714	0.107142857142857	-0.285714285714286	0.0119047619047619	-0.285714285714286	0.678571428571429	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	71.0	0.964285714285714	0.464285714285714	0.5	0.642857142857143	0.464285714285714	0.678571428571429	7.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	72.0	0.714285714285714	0.964285714285714	0.464285714285714	0.714285714285714	0.464285714285714	0.785714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	73.0	0.392857142857143	1.0	0.321428571428571	0.571428571428571	0.321428571428571	0.214285714285714	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	74.0	0.642857142857143	0.607142857142857	-0.357142857142857	0.297619047619048	-0.357142857142857	0.285714285714286	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	75.0	0.464285714285714	0.964285714285714	0.857142857142857	0.761904761904762	0.464285714285714	0.571428571428571	6.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	76.0	0.964285714285714	0.964285714285714	0.928571428571429	0.952380952380952	0.928571428571429	0.892857142857143	5.0										
A-B	03_results/phase2b/MATCHED_RANDOM_PROGRAM_NULL_10000.tsv	null_iteration	77.0	0.857142857142857	0.428571428571429	0.785714285714286	0.69047619047619	0.428571428571429	0.428571428571429	6.0										
