analysis	variant	removed_gene	dataset	genes_used	day14_hedges_g	direction
leave_one_gene_out	LOO	TGFB2	GSE168760_AFL	68	1.31331816124108	UP
leave_one_gene_out	LOO	TGFB2	GSE206495_NAFL_FOREARM	68	1.07668514834372	UP
leave_one_gene_out	LOO	TGFBR1	GSE168760_AFL	68	1.29547960334267	UP
leave_one_gene_out	LOO	TGFBR1	GSE206495_NAFL_FOREARM	68	1.08425876774847	UP
leave_one_gene_out	LOO	TLL1	GSE168760_AFL	68	1.2849052424598	UP
leave_one_gene_out	LOO	TLL1	GSE206495_NAFL_FOREARM	68	1.10359527982601	UP
leave_one_gene_out	LOO	TLL2	GSE168760_AFL	68	1.2557831136242	UP
leave_one_gene_out	LOO	TLL2	GSE206495_NAFL_FOREARM	68	1.0542905304499	UP
leave_one_gene_out	LOO	VPS33B	GSE168760_AFL	68	1.27059097851282	UP
leave_one_gene_out	LOO	VPS33B	GSE206495_NAFL_FOREARM	68	1.08861665474996	UP
