gene_symbol	n_entrez_per_symbol	probe_id	gene_symbol_raw	entrez_raw	platform	symbol_unique	entrez_unique	entrez_id	mapping_status	used_reliable	selected_highest_iqr_probe	used_shared_universe
CACNB4	1	11741908_a_at	CACNB4	785	GPL13667	TRUE	TRUE	785	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
PKNOX2	1	11741909_a_at	PKNOX2	63876	GPL13667	TRUE	TRUE	63876	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
PKNOX2	1	11741910_s_at	PKNOX2	63876	GPL13667	TRUE	TRUE	63876	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
GBP3	1	11741911_a_at	GBP3	2635	GPL13667	TRUE	TRUE	2635	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
HSP90B1	1	11741912_a_at	HSP90B1	7184	GPL13667	TRUE	TRUE	7184	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
HSP90B1	1	11741913_s_at	HSP90B1	7184	GPL13667	TRUE	TRUE	7184	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
ISM2	1	11741914_a_at	ISM2	145501	GPL13667	TRUE	TRUE	145501	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
ISM2	1	11741915_a_at	ISM2	145501	GPL13667	TRUE	TRUE	145501	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
OR12D3	1	11741916_at	OR12D3	81797	GPL13667	TRUE	TRUE	81797	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
OR12D3	1	11741917_at	OR12D3	81797	GPL13667	TRUE	TRUE	81797	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
ART1	1	11741918_at	ART1	417	GPL13667	TRUE	TRUE	417	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
IFNA17	1	11741919_x_at	IFNA17	3451	GPL13667	TRUE	TRUE	3451	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
GRXCR2	1	11741920_at	GRXCR2	643226	GPL13667	TRUE	TRUE	643226	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
DGAT2L6	1	11741921_at	DGAT2L6	347516	GPL13667	TRUE	TRUE	347516	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
LCE2C	1	11741922_at	LCE2C	353140	GPL13667	TRUE	TRUE	353140	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
THRB	1	11741923_a_at	THRB	7068	GPL13667	TRUE	TRUE	7068	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
GRB10	1	11741924_a_at	GRB10	2887	GPL13667	TRUE	TRUE	2887	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
C14orf184	1	11741925_at	C14orf184	650662	GPL13667	TRUE	TRUE	650662	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	FALSE
FUT5	1	11741926_x_at	FUT5	2527	GPL13667	TRUE	TRUE	2527	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	TRUE	TRUE
KCNIP4	1	11741927_a_at	KCNIP4	80333	GPL13667	TRUE	TRUE	80333	RELIABLE_UNIQUE_SYMBOL_ENTREZ	TRUE	FALSE	TRUE
