gene_symbol	entrez_id_a	entrez_id_n	entrez_agreement
ANO8	57719	57719	TRUE
ANO9	338440	338440	TRUE
ANP32A	8125	8125	TRUE
ANP32B	10541	10541	TRUE
ANP32C	23520	23520	TRUE
ANP32D	23519	23519	TRUE
ANP32E	81611	81611	TRUE
ANPEP	290	290	TRUE
ANTXR1	84168	84168	TRUE
ANTXR2	118429	118429	TRUE
ANXA1	301	301	TRUE
ANXA10	11199	11199	TRUE
ANXA11	311	311	TRUE
ANXA13	312	312	TRUE
ANXA2	302	302	TRUE
ANXA2P1	303	303	TRUE
ANXA2P2	304	304	TRUE
ANXA2P3	305	305	TRUE
ANXA3	306	306	TRUE
ANXA4	307	307	TRUE
ANXA5	308	308	TRUE
ANXA6	309	309	TRUE
ANXA7	310	310	TRUE
ANXA9	8416	8416	TRUE
AOAH	313	313	TRUE
AOC2	314	314	TRUE
AOC3	8639	8639	TRUE
AOX1	316	316	TRUE
AP1AR	55435	55435	TRUE
AP1B1	162	162	TRUE
AP1G1	164	164	TRUE
AP1G2	8906	8906	TRUE
AP1M1	8907	8907	TRUE
AP1M2	10053	10053	TRUE
AP1S1	1174	1174	TRUE
AP1S2	8905	8905	TRUE
AP1S3	130340	130340	TRUE
AP2A1	160	160	TRUE
AP2A2	161	161	TRUE
AP2B1	163	163	TRUE
AP2M1	1173	1173	TRUE
AP2S1	1175	1175	TRUE
AP3B1	8546	8546	TRUE
AP3B2	8120	8120	TRUE
AP3D1	8943	8943	TRUE
AP3M1	26985	26985	TRUE
AP3M2	10947	10947	TRUE
AP3S1	1176	1176	TRUE
AP4B1	10717	10717	TRUE
AP4E1	23431	23431	TRUE
AP4M1	9179	9179	TRUE
AP4S1	11154	11154	TRUE
APAF1	317	317	TRUE
APBA2	321	321	TRUE
APBA3	9546	9546	TRUE
APBB1	322	322	TRUE
APBB1IP	54518	54518	TRUE
APBB2	323	323	TRUE
APBB3	10307	10307	TRUE
APC	324	324	TRUE
APC2	10297	10297	TRUE
APCDD1	147495	147495	TRUE
APCDD1L	164284	164284	TRUE
APCS	325	325	TRUE
APEH	327	327	TRUE
APEX1	328	328	TRUE
APEX2	27301	27301	TRUE
APH1A	51107	51107	TRUE
APH1B	83464	83464	TRUE
API5	8539	8539	TRUE
APIP	51074	51074	TRUE
APITD1	378708	378708	TRUE
APLN	8862	8862	TRUE
APLNR	187	187	TRUE
APLP1	333	333	TRUE
APLP2	334	334	TRUE
APOA1	335	335	TRUE
APOA1BP	128240	128240	TRUE
APOA2	336	336	TRUE
APOA4	337	337	TRUE
APOA5	116519	116519	TRUE
APOB	338	338	TRUE
APOBEC1	339	339	TRUE
APOBEC2	10930	10930	TRUE
APOBEC3B	9582	9582	TRUE
APOBEC3C	27350	27350	TRUE
APOBEC3D	140564	140564	TRUE
APOBEC3F	200316	200316	TRUE
APOBEC3G	60489	60489	TRUE
APOBEC3H	164668	164668	TRUE
APOBEC4	403314	403314	TRUE
APOC1	341	341	TRUE
APOC1P1	342	342	TRUE
APOC2	344	344	TRUE
APOC3	345	345	TRUE
APOD	347	347	TRUE
APOE	348	348	TRUE
APOF	319	319	TRUE
APOH	350	350	TRUE
APOL1	8542	8542	TRUE
APOL2	23780	23780	TRUE
APOL3	80833	80833	TRUE
APOL4	80832	80832	TRUE
APOL5	80831	80831	TRUE
APOL6	80830	80830	TRUE
APOLD1	81575	81575	TRUE
APOM	55937	55937	TRUE
APOO	79135	79135	TRUE
APOOL	139322	139322	TRUE
APP	351	351	TRUE
APPBP2	10513	10513	TRUE
APPL1	26060	26060	TRUE
APPL2	55198	55198	TRUE
APRT	353	353	TRUE
APTX	54840	54840	TRUE
AQP1	358	358	TRUE
AQP10	89872	89872	TRUE
AQP11	282679	282679	TRUE
AQP2	359	359	TRUE
AQP3	360	360	TRUE
AQP4	361	361	TRUE
AQP5	362	362	TRUE
AQP6	363	363	TRUE
AQP7	364	364	TRUE
AQP8	343	343	TRUE
AQP9	366	366	TRUE
AQR	9716	9716	TRUE
AR	367	367	TRUE
ARAF	369	369	TRUE
ARAP1	116985	116985	TRUE
ARAP2	116984	116984	TRUE
ARAP3	64411	64411	TRUE
ARC	23237	23237	TRUE
ARCN1	372	372	TRUE
AREG	374	374	TRUE
ARF1	375	375	TRUE
ARF3	377	377	TRUE
ARF4	378	378	TRUE
ARF5	381	381	TRUE
ARF6	382	382	TRUE
ARFGAP1	55738	55738	TRUE
ARFGAP2	84364	84364	TRUE
ARFGAP3	26286	26286	TRUE
ARFGEF1	10565	10565	TRUE
ARFGEF2	10564	10564	TRUE
ARFIP1	27236	27236	TRUE
ARFIP2	23647	23647	TRUE
ARFRP1	10139	10139	TRUE
ARG1	383	383	TRUE
ARG2	384	384	TRUE
ARGFX	503582	503582	TRUE
ARGLU1	55082	55082	TRUE
ARHGAP1	392	392	TRUE
ARHGAP10	79658	79658	TRUE
ARHGAP11A	9824	9824	TRUE
ARHGAP12	94134	94134	TRUE
ARHGAP15	55843	55843	TRUE
ARHGAP17	55114	55114	TRUE
ARHGAP18	93663	93663	TRUE
ARHGAP19	84986	84986	TRUE
ARHGAP20	57569	57569	TRUE
ARHGAP21	57584	57584	TRUE
ARHGAP22	58504	58504	TRUE
ARHGAP23	57636	57636	TRUE
ARHGAP24	83478	83478	TRUE
ARHGAP25	9938	9938	TRUE
ARHGAP26	23092	23092	TRUE
ARHGAP27	201176	201176	TRUE
ARHGAP28	79822	79822	TRUE
ARHGAP29	9411	9411	TRUE
ARHGAP30	257106	257106	TRUE
ARHGAP31	57514	57514	TRUE
ARHGAP32	9743	9743	TRUE
ARHGAP33	115703	115703	TRUE
ARHGAP36	158763	158763	TRUE
ARHGAP39	80728	80728	TRUE
ARHGAP4	393	393	TRUE
ARHGAP42	143872	143872	TRUE
ARHGAP5	394	394	TRUE
ARHGAP6	395	395	TRUE
ARHGAP8	23779	23779	TRUE
ARHGAP9	64333	64333	TRUE
ARHGDIA	396	396	TRUE
ARHGDIB	397	397	TRUE
ARHGDIG	398	398	TRUE
